specification,weights_definition,k,n_counties,n_components,n_islands,min_neighbors,mean_neighbors,max_neighbors,global_moran_I,expected_I,global_p_sim,global_z_sim,n_significant_local_clusters,significant_local_counties
legacy_queen,Queen contiguity among monitored counties only; row-standardized shared-boundary weights. This preserves the legacy specification but fragments when monitored counties do not touch.,,16,8,5,0,1.125,3,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,1,Ozaukee (Low-High)
knn_3,Directed K-nearest-neighbor weights using county representative points in EPSG:3071; k=3; row-standardized; asymmetric neighbor lists; not symmetrized.,3.0,16,1,0,3,3.0,3,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,Ozaukee (Low-High)
knn_4,Directed K-nearest-neighbor weights using county representative points in EPSG:3071; k=4; row-standardized; asymmetric neighbor lists; not symmetrized.,4.0,16,1,0,4,4.0,4,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,0,None
knn_5,Directed K-nearest-neighbor weights using county representative points in EPSG:3071; k=5; row-standardized; asymmetric neighbor lists; not symmetrized.,5.0,16,1,0,5,5.0,5,-0.029373683791053914,-0.06666666666666667,0.307,0.3417333098448601,1,Ashland (Low-Low)
